,time,area,count
285,2023-03-16 06:37:00,Gaslamp,2
286,2023-03-16 06:37:00,Little Italy,3
287,2023-03-16 06:37:00,Marina,84
288,2023-03-16 06:37:00,North Park,1
289,2023-03-16 06:37:00,University Heights,1
290,2023-03-16 06:38:00,Barrio Logan,1
291,2023-03-16 06:38:00,Columbia,6
292,2023-03-16 06:38:00,Core,9
293,2023-03-16 06:38:00,Cortez Hill,2
294,2023-03-16 06:38:00,East Village,16
295,2023-03-16 06:38:00,Five Points,1
296,2023-03-16 06:38:00,Gaslamp,2
297,2023-03-16 06:38:00,Little Italy,3
298,2023-03-16 06:38:00,Marina,84
299,2023-03-16 06:38:00,North Park,1
300,2023-03-16 06:38:00,University Heights,1
301,2023-03-16 06:39:00,Barrio Logan,1
302,2023-03-16 06:39:00,Columbia,6
303,2023-03-16 06:39:00,Core,9
304,2023-03-16 06:39:00,Cortez Hill,2
305,2023-03-16 06:39:00,East Village,18
306,2023-03-16 06:39:00,Five Points,1
307,2023-03-16 06:39:00,Gaslamp,2
308,2023-03-16 06:39:00,Little Italy,4
309,2023-03-16 06:39:00,Marina,85
310,2023-03-16 06:39:00,North Park,1
311,2023-03-16 06:39:00,University Heights,1
312,2023-03-16 06:40:00,Barrio Logan,1
313,2023-03-16 06:40:00,Columbia,6
314,2023-03-16 06:40:00,Core,9
315,2023-03-16 06:40:00,Cortez Hill,2
316,2023-03-16 06:40:00,East Village,18
317,2023-03-16 06:40:00,Five Points,1
318,2023-03-16 06:40:00,Gaslamp,2
319,2023-03-16 06:40:00,Little Italy,4
320,2023-03-16 06:40:00,Marina,85
321,2023-03-16 06:40:00,North Park,1
322,2023-03-16 06:40:00,University Heights,1
323,2023-03-16 06:41:00,Barrio Logan,1
324,2023-03-16 06:41:00,Columbia,6
325,2023-03-16 06:41:00,Core,9
326,2023-03-16 06:41:00,Cortez Hill,3
327,2023-03-16 06:41:00,East Village,18
328,2023-03-16 06:41:00,Five Points,1
329,2023-03-16 06:41:00,Gaslamp,2
330,2023-03-16 06:41:00,Little Italy,4
331,2023-03-16 06:41:00,Marina,85
332,2023-03-16 06:41:00,North Park,1
333,2023-03-16 06:41:00,University Heights,1
334,2023-03-16 06:42:00,Bankers Hill,1
335,2023-03-16 06:42:00,Barrio Logan,1
336,2023-03-16 06:42:00,Columbia,6
337,2023-03-16 06:42:00,Core,9
338,2023-03-16 06:42:00,Cortez Hill,3
339,2023-03-16 06:42:00,East Village,18
340,2023-03-16 06:42:00,Five Points,1
341,2023-03-16 06:42:00,Gaslamp,2
342,2023-03-16 06:42:00,Little Italy,4
343,2023-03-16 06:42:00,Marina,85
344,2023-03-16 06:42:00,North Park,1
345,2023-03-16 06:42:00,University Heights,1
346,2023-03-16 06:43:00,Bankers Hill,1
347,2023-03-16 06:43:00,Barrio Logan,1
348,2023-03-16 06:43:00,Columbia,6
349,2023-03-16 06:43:00,Core,9
350,2023-03-16 06:43:00,Cortez Hill,3
351,2023-03-16 06:43:00,East Village,18
352,2023-03-16 06:43:00,Five Points,1
353,2023-03-16 06:43:00,Gaslamp,2
354,2023-03-16 06:43:00,Little Italy,4
355,2023-03-16 06:43:00,Marina,85
356,2023-03-16 06:43:00,North Park,1
357,2023-03-16 06:43:00,University Heights,1
358,2023-03-16 06:44:00,Bankers Hill,1
359,2023-03-16 06:44:00,Barrio Logan,1
360,2023-03-16 06:44:00,Columbia,6
361,2023-03-16 06:44:00,Core,11
362,2023-03-16 06:44:00,Cortez Hill,3
363,2023-03-16 06:44:00,East Village,18
364,2023-03-16 06:44:00,Five Points,1
365,2023-03-16 06:44:00,Gaslamp,2
366,2023-03-16 06:44:00,Little Italy,4
367,2023-03-16 06:44:00,Marina,85
368,2023-03-16 06:44:00,North Park,1
369,2023-03-16 06:44:00,University Heights,1
370,2023-03-16 06:45:00,Bankers Hill,1
371,2023-03-16 06:45:00,Barrio Logan,1
372,2023-03-16 06:45:00,Columbia,6
373,2023-03-16 06:45:00,Core,11
374,2023-03-16 06:45:00,Cortez Hill,3
375,2023-03-16 06:45:00,East Village,18
376,2023-03-16 06:45:00,Five Points,1
377,2023-03-16 06:45:00,Gaslamp,2
378,2023-03-16 06:45:00,Little Italy,4
379,2023-03-16 06:45:00,Marina,86
380,2023-03-16 06:45:00,North Park,1
381,2023-03-16 06:45:00,University Heights,1
382,2023-03-16 06:46:00,Bankers Hill,1
383,2023-03-16 06:46:00,Barrio Logan,1
384,2023-03-16 06:46:00,Columbia,6
385,2023-03-16 06:46:00,Core,11
386,2023-03-16 06:46:00,Cortez Hill,3
387,2023-03-16 06:46:00,East Village,18
388,2023-03-16 06:46:00,Five Points,1
389,2023-03-16 06:46:00,Gaslamp,2
390,2023-03-16 06:46:00,Little Italy,4
391,2023-03-16 06:46:00,Marina,86
392,2023-03-16 06:46:00,North Park,1
393,2023-03-16 06:46:00,University Heights,1
394,2023-03-16 06:47:00,Bankers Hill,1
395,2023-03-16 06:47:00,Barrio Logan,1
396,2023-03-16 06:47:00,Columbia,6
397,2023-03-16 06:47:00,Core,11
398,2023-03-16 06:47:00,Cortez Hill,3
399,2023-03-16 06:47:00,East Village,19
400,2023-03-16 06:47:00,Five Points,1
401,2023-03-16 06:47:00,Gaslamp,2
402,2023-03-16 06:47:00,Little Italy,4
403,2023-03-16 06:47:00,Marina,88
404,2023-03-16 06:47:00,North Park,1
405,2023-03-16 06:47:00,University Heights,1
406,2023-03-16 06:48:00,Bankers Hill,2
407,2023-03-16 06:48:00,Barrio Logan,1
408,2023-03-16 06:48:00,Columbia,6
409,2023-03-16 06:48:00,Core,11
410,2023-03-16 06:48:00,Cortez Hill,3
411,2023-03-16 06:48:00,East Village,20
412,2023-03-16 06:48:00,Five Points,1
413,2023-03-16 06:48:00,Gaslamp,2
414,2023-03-16 06:48:00,Little Italy,4
415,2023-03-16 06:48:00,Marina,88
416,2023-03-16 06:48:00,North Park,1
417,2023-03-16 06:48:00,University Heights,1
418,2023-03-16 06:49:00,Bankers Hill,2
419,2023-03-16 06:49:00,Barrio Logan,1
420,2023-03-16 06:49:00,Columbia,6
421,2023-03-16 06:49:00,Core,11
422,2023-03-16 06:49:00,Cortez Hill,3
423,2023-03-16 06:49:00,East Village,23
424,2023-03-16 06:49:00,Five Points,1
425,2023-03-16 06:49:00,Gaslamp,2
426,2023-03-16 06:49:00,Little Italy,4
427,2023-03-16 06:49:00,Marina,89
428,2023-03-16 06:49:00,Mission Hills,1
429,2023-03-16 06:49:00,North Park,1
430,2023-03-16 06:49:00,University Heights,1
431,2023-03-16 06:50:00,Bankers Hill,3
432,2023-03-16 06:50:00,Barrio Logan,1
433,2023-03-16 06:50:00,Columbia,6
434,2023-03-16 06:50:00,Core,11
435,2023-03-16 06:50:00,Cortez Hill,3
436,2023-03-16 06:50:00,East Village,25
437,2023-03-16 06:50:00,Five Points,1
438,2023-03-16 06:50:00,Gaslamp,2
439,2023-03-16 06:50:00,Little Italy,4
440,2023-03-16 06:50:00,Marina,89
441,2023-03-16 06:50:00,Mission Hills,1
442,2023-03-16 06:50:00,North Park,1
443,2023-03-16 06:50:00,University Heights,1
444,2023-03-16 06:51:00,Bankers Hill,3
445,2023-03-16 06:51:00,Barrio Logan,1
446,2023-03-16 06:51:00,Columbia,6
447,2023-03-16 06:51:00,Core,11
448,2023-03-16 06:51:00,Cortez Hill,3
449,2023-03-16 06:51:00,East Village,25
450,2023-03-16 06:51:00,Five Points,1
451,2023-03-16 06:51:00,Gaslamp,2
452,2023-03-16 06:51:00,Little Italy,6
453,2023-03-16 06:51:00,Marina,89
454,2023-03-16 06:51:00,Mission Hills,1
455,2023-03-16 06:51:00,North Park,1
456,2023-03-16 06:51:00,University Heights,1
457,2023-03-16 06:52:00,Bankers Hill,3
458,2023-03-16 06:52:00,Barrio Logan,1
459,2023-03-16 06:52:00,Columbia,7
460,2023-03-16 06:52:00,Core,11
461,2023-03-16 06:52:00,Cortez Hill,3
462,2023-03-16 06:52:00,East Village,27
463,2023-03-16 06:52:00,Five Points,1
464,2023-03-16 06:52:00,Gaslamp,2
465,2023-03-16 06:52:00,Little Italy,8
466,2023-03-16 06:52:00,Marina,89
467,2023-03-16 06:52:00,Mission Hills,1
468,2023-03-16 06:52:00,North Park,1
469,2023-03-16 06:52:00,University Heights,1
470,2023-03-16 06:53:00,Bankers Hill,3
471,2023-03-16 06:53:00,Barrio Logan,1
472,2023-03-16 06:53:00,Columbia,7
473,2023-03-16 06:53:00,Core,11
474,2023-03-16 06:53:00,Cortez Hill,5
475,2023-03-16 06:53:00,East Village,28
476,2023-03-16 06:53:00,Five Points,1
477,2023-03-16 06:53:00,Gaslamp,2
478,2023-03-16 06:53:00,Little Italy,9
479,2023-03-16 06:53:00,Marina,89
480,2023-03-16 06:53:00,Mission Hills,1
481,2023-03-16 06:53:00,North Park,1
482,2023-03-16 06:53:00,University Heights,1
483,2023-03-16 06:54:00,Bankers Hill,3
484,2023-03-16 06:54:00,Barrio Logan,1
485,2023-03-16 06:54:00,Columbia,7
486,2023-03-16 06:54:00,Core,11
487,2023-03-16 06:54:00,Cortez Hill,5
488,2023-03-16 06:54:00,East Village,29
489,2023-03-16 06:54:00,Five Points,1
490,2023-03-16 06:54:00,Gaslamp,2
491,2023-03-16 06:54:00,Little Italy,9
492,2023-03-16 06:54:00,Marina,89
493,2023-03-16 06:54:00,Mission Hills,1
